Name,SIC,BVD,Industry
BAMNI PROTEINS LIMITED,2834.0,IN0000287263,Manufacturing
BANG PAPER & BOARDS PRIVATE LIMITED,5093.0,IN0013320035,Wholesale Trade
BANGALORE FLUID SYSTEM COMPONENTS PRIVATE LIMITED,5199.0,IN0001435078,Wholesale Trade
BARCLAYS GLOBAL SERVICE CENTRE PRIVATE LIMITED,7371.0,IN0001454903,Services
BARODA GLOBAL SHARED SERVICES LIMITED,7389.0,IN0016568607,Services
BASF CHEMICALS INDIA PRIVATE LIMITED,2899.0,IN0011717168,Manufacturing
BAYER CROPSCIENCE LIMITED,2879.0,IN30535FI,Manufacturing
BBC WORLD SERVICE INDIA PRIVATE LIMITED,3652.0,IN0001537523,Manufacturing
BC MANAGEMENT SERVICES PRIVATE LIMITED,8742.0,IN0001538829,Services
BCITS PRIVATE LIMITED,6512.0,IN0001539988,"Finance, Insurance, and Real Estate"
BCPL RAILWAY INFRASTRUCTURE LIMITED,1622.0,IN001576257IND,Construction
BDH INDUSTRIES LIMITED,2834.0,IN31144FI,Manufacturing
BDR LIFESCIENCES PRIVATE LIMITED,2834.0,IN0001542141,Manufacturing
BEAUTY IMPEX PRIVATE LIMITED,4783.0,IN0001550186,"Transportation, Communications, Electric, Gas, and Sanitary Services"
BECKMAN COULTER INDIA PRIVATE LIMITED,3841.0,IN0001557153,Manufacturing
BEIL INFRASTRUCTURE LIMITED,1796.0,IN0000270956,Construction
BEKEM INFRA PROJECTS PRIVATE LIMITED,6512.0,IN0001558585,"Finance, Insurance, and Real Estate"
BELLA CASA FASHION & RETAIL LIMITED,5023.0,IN114948FI,Wholesale Trade
BENGAL SHRIRAM HITECH CITY PRIVATE LIMITED,1611.0,IN0001553191,Construction
BENZO CHEM INDUSTRIES PVT LTD,2819.0,IN0001545758,Manufacturing
BETA DRUGS LIMITED,2834.0,IN117718FI,Manufacturing
BHAGWATI STEEL AND ALLOYS PRIVATE LIMITED,5085.0,IN0015479212,Wholesale Trade
BHARAT CONTAINERS (NAGPUR) PVT LTD,3412.0,IN0001614798,Manufacturing
BHARAT RAIL AUTOMATIONS PRIVATE LIMITED,3312.0,IN0001628072,Manufacturing
BHARAT RASAYAN LIMITED,2879.0,IN32439FI,Manufacturing
BHARAT RE-INSURANCE BROKERS PRIVATE LIMITED,6411.0,IN0001628276,"Finance, Insurance, and Real Estate"
BHARAT ROLL INDUSTRY PVT LTD,3312.0,IN0001627739,Manufacturing
BHARATH SALT REFINERIES LIMITED,5199.0,IN0001635737,Wholesale Trade
BHARTI REALTY LIMITED,6531.0,IN0001653645,"Finance, Insurance, and Real Estate"
BHOJWANI UNIVERSAL IMPEX PRIVATE LIMITED,5199.0,IN0012132252,Wholesale Trade
BHURUKA GASES LIMITED,4911.0,IN32648FI,"Transportation, Communications, Electric, Gas, and Sanitary Services"
BHUVAN WHEELS PRIVATE LIMITED,5012.0,IN0014765687,Wholesale Trade
BHUVANESWARI COTSPIN INDIA PRIVATE LIMITED,2281.0,IN0011084456,Manufacturing
BI WORLDWIDE INDIA PRIVATE LIMITED,7375.0,IN0001672914,Services
BIJA AGRIFRESH PRIVATE LIMITED,251.0,IN0001668379,Manufacturing
BIKAJI FOODS INTERNATIONAL LIMITED,2099.0,IN37452FI,Manufacturing
BILASPUR MINING INDUSTRIES PRIVATE LIMITED,3531.0,IN0001663332,Manufacturing
BINA UDYOG PRIVATE LIMITED,5085.0,IN0001708141,Wholesale Trade
BINAYAK HI-TECH ENGINEERING PRIVATE LIMITED,5085.0,IN0001683653,Wholesale Trade
BIO-RAD LABORATORIES (INDIA) PRIVATE LIMITED,3672.0,IN0000400383,Manufacturing
BIOCON LIMITED,2834.0,IN30909FI,Manufacturing
BISMI CONNECT LIMITED,5085.0,IN0016395127,Wholesale Trade
BKS TEXTILES PRIVATE LIMITED,2281.0,IN0001713191,Manufacturing
BLA INFRASTRUCTURE PRIVATE LIMITED,1611.0,IN0001737802,Construction
BLA PROJECTS PRIVATE LIMITED,1611.0,IN0001737854,Construction
BLAIZE NEW COMPUTING TECHNOLOGIES INDIA PRIVATE LIMITED,8721.0,IN0005666214,Services
BLUE WHALE ADVISORY SERVICES PRIVATE LIMITED,8742.0,IN0001720184,Services
BLUECHIP CORPORATE INVESTMENT CENTRE PRIVATE LIMITED,6159.0,IN0001728939,"Finance, Insurance, and Real Estate"
BLUECHIP INSURANCE BROKING PRIVATE LIMITED,6411.0,IN0001730177,"Finance, Insurance, and Real Estate"
BMR HVAC LIMITED,3694.0,IN0001760221,Manufacturing
BMTG ADVISORS INDIA PRIVATE LIMITED,8742.0,IN0015035363,Services
BNC POWER PROJECTS LIMITED,1799.0,IN0001761978,Construction
BNR INFRASTRUCTURE PROJECTS PRIVATE LIMITED,1799.0,IN0001763078,Construction
BNY MELLON INTERNATIONAL OPERATIONS (INDIA) PRIVATE LIMITED,7375.0,IN0001763508,Services
BOEHRINGER INGELHEIM INDIA PRIVATE LIMITED,2834.0,IN0001767064,Manufacturing
BOLDROCCHI INDIA PRIVATE LIMITED,5199.0,IN0000522161,Wholesale Trade
BOLLORE LOGISTICS INDIA PRIVATE LIMITED,5012.0,IN0000229613,Wholesale Trade
BOMBAY CRIMPERS PRIVATE LIMITED,2257.0,IN0009870741,Manufacturing
BOMBAY METRICS SUPPLY CHAIN LIMITED,8711.0,IN001130893IND,Services
BOMS PRIVATE LIMITED,8742.0,IN0001517703,Services
BONACE ENGINEERS PRIVATE LIMITED,7389.0,IN0001777112,Services
BONAI INDUSTRIAL CO LTD,1499.0,IN0001777461,Mining
BONZA VITRIFIED PRIVATE LIMITED,3251.0,IN0015507213,Manufacturing
BORKAR TRADING COMPANY PRIVATE LIMITED,5085.0,IN0001786385,Wholesale Trade
BOROSIL LIMITED,3229.0,IN001577505IND,Manufacturing
BOSCH CHASSIS SYSTEMS INDIA PRIVATE LIMITED,3694.0,IN30958FI,Manufacturing
BOTHRA SHIPPING SERVICES PRIVATE LIMITED,4491.0,IN0001790865,"Transportation, Communications, Electric, Gas, and Sanitary Services"
BOUDH DISTILLERY PRIVATE LIMITED,2041.0,IN0007041746,Manufacturing
BOWREAH JUTE MILLS PRIVATE LIMITED,5085.0,IN0001792934,Wholesale Trade
BPREX PHARMA PACKAGING INDIA PRIVATE LIMITED,3089.0,IN0006638893,Manufacturing
BRADKEN INDIA PRIVATE LIMITED,1099.0,IN0014687046,Mining
BRAHMANI RIVER PELLETS LIMITED,3312.0,IN0001799331,Manufacturing
BRAKE PARTS INDIA PRIVATE LIMITED,3559.0,IN0000583269,Manufacturing
BRAND ALLOYS PRIVATE LIMITED,1099.0,IN0000240243,Mining
BRANDIX APPAREL INDIA PRIVATE LIMITED,5131.0,IN0001807291,Wholesale Trade
BRIGHTFLEXI INTERNATIONAL PRIVATE LIMITED,3069.0,IN0014359566,Manufacturing
BRISK ELECTRONICS PRIVATE LIMITED,3672.0,IN0008940151,Manufacturing
BROOKFIELD ADVISORS INDIA PRIVATE LIMITED,6019.0,IN0008932654,"Finance, Insurance, and Real Estate"
BURCKHARDT COMPRESSION (INDIA) PRIVATE LIMITED,3561.0,IN0000021581,Manufacturing
