,BVD,Name,SIC,Industry,RG
36,IN0000948242,ANDRITZ TECHNOLOGIES PRIVATE LIMITED,3559.0,Manufacturing,0.30603544873949096
229,IN0010698936,MANSUKH SECURITIES AND FINANCE LIMITED,7389.0,Services,0.3044639512426885
63,IN0001948575,CELEBI AIRPORT SERVICES INDIA PRIVATE LIMITED,4789.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.30332810080459194
8,IN0000239779,TAGROS CHEMICALS INDIA PRIVATE LIMITED,2899.0,Manufacturing,0.30173330819449473
164,IN0006752889,PRADIP POLYFILS PRIVATE LIMITED,3089.0,Manufacturing,0.2989902051827942
69,IN0002183212,CTRL S DATACENTERS LIMITED,7371.0,Services,0.296627045980055
176,IN0007582142,MACQUARIE GLOBAL SERVICES PRIVATE LIMITED,7299.0,Services,0.2953196203303054
377,IN31294FI,HIL LTD,3241.0,Manufacturing,0.2940866383641603
87,IN0002828632,FEEGRADE & CO PVT LTD,1222.0,Mining,0.29252610527460127
165,IN0006796691,ROTOSTAT SERVICES PRIVATE LIMITED,7389.0,Services,0.2907970233789567
138,IN0005709626,TRBEX IMPEX PRIVATE LIMITED,5085.0,Wholesale Trade,0.29077995132920786
88,IN0002883707,FLEUR HOTELS LIMITED,7011.0,Services,0.28715679585705084
254,IN0011967591,NEW OPPORTUNITY CONSULTANCY PRIVATE LIMITED,7261.0,Services,0.281182477613445
12,IN0000245832,L&T ENERGY HYDROCARBON ENGINEERING LIMITED,8712.0,Services,0.28007812489010164
163,IN0006716404,RODIC CONSULTANTS PRIVATE LIMITED,4939.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.2792193548660419
51,IN0001606748,RAIC INTEGRATED SPONGE & POWER PRIVATE LIMITED,3312.0,Manufacturing,0.2788679795279284
116,IN0004064806,JASTECH SYSTEMS PRIVATE LIMITED,3691.0,Manufacturing,0.27763620436269965
56,IN0001799331,BRAHMANI RIVER PELLETS LIMITED,3315.0,Manufacturing,0.27556074084418714
140,IN0005816477,TVM SIGNALLING AND TRANSPORTATION SYSTEMS PRIVATE LIMITED,7371.0,Services,0.27426468730336945
204,IN0009289605,C K FABRICS PRIVATE LIMITED,2257.0,Manufacturing,0.27374642114954567
246,IN001152862IND,RUDRABHISHEK ENTERPRISES LIMITED,8748.0,Services,0.27328655888496806
90,IN0003080307,GAWAR CONSTRUCTION LIMITED.,6531.0,"Finance, Insurance, and Real Estate",0.2687143774985641
281,IN0013157182,STIC ON PAPERS PRIVATE LIMITED,2652.0,Manufacturing,0.26785875291483546
184,IN0007813441,DONGSUNG PRECISION COMPANY PRIVATE LIMITED,5013.0,Wholesale Trade,0.2675607857185718
274,IN0012884955,SHRI BHAGWATI MACHINES PVT LTD,5085.0,Wholesale Trade,0.26694416570981144
152,IN0006111681,SPECIALITY SINTERED PRODUCTS PRIVATE LIMITED,3714.0,Manufacturing,0.2645287287251002
427,IN918992FI,CLEAN SCIENCE AND TECHNOLOGY LIMITED,2899.0,Manufacturing,0.2633163427751198
67,IN0002138315,CREATIVE CARVE PRIVATE LIMITED,3559.0,Manufacturing,0.2624295133119556
249,IN0011694911,SUREPREP (INDIA) PRIVATE LIMITED,7371.0,Services,0.2621084198764026
233,IN0010804923,MARWADI SHARES AND FINANCE LIMITED,6141.0,"Finance, Insurance, and Real Estate",0.26189957166816147
236,IN0010976785,SANDISK INDIA DEVICE DESIGN CENTRE PRIVATE LIMITED,7374.0,Services,0.26088683221937065
85,IN0002788011,DURGA PROCESSORS PRIVATE LIMITED,2759.0,Manufacturing,0.26025845918321916
424,IN621270FI,TARA CHAND LOGISTIC SOLUTIONS LIMITED,7389.0,Services,0.25865229059805656
5,IN0000229613,BOLLORE LOGISTICS INDIA PRIVATE LIMITED,5012.0,Wholesale Trade,0.2584641730091691
303,IN0014735247,SAHAKAR GLOBAL LIMITED,5085.0,Wholesale Trade,0.2551375111645254
205,IN0009420721,ADS SPIRITS PRIVATE LIMITED,2519.0,Manufacturing,0.2549171278823091
109,IN0003738029,COFORGE DPA PRIVATE LIMITED,7371.0,Services,0.25481318777671375
183,IN0007779924,ECO PROTECTION ENGINEERS PRIVATE LIMITED,4941.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.2540017509021098
355,IN121081FI,KAPSTON FACILITIES MANAGEMENT LIMITED,7389.0,Services,0.25332857090417993
105,IN0003663407,ICRA ANALYTICS LIMITED,7375.0,Services,0.25283600348504237
396,IN32997FI,CONFIDENCE PETROLEUM INDIA LTD,1321.0,Mining,0.25260941254408253
386,IN31847FI,ORIENTAL AROMATICS LTD,2899.0,Manufacturing,0.25246264679545066
23,IN0000401452,SIGMA ALDRICH CHEMICALS PRIVATE LIMITED,2813.0,Manufacturing,0.25209493941890543
305,IN0014924153,KOHINOOR ROPES PRIVATE LIMITED,3069.0,Manufacturing,0.2517951760008898
80,IN0002573819,EISAI PHARMACEUTICALS INDIA PRIVATE LIMITED,2834.0,Manufacturing,0.2489910570592924
223,IN0010311106,CONGRUENT SOLUTIONS PRIVATE LIMITED,3799.0,Manufacturing,0.2471471788761216
66,IN0002121787,CMR-TOYOTSU ALUMINIUM INDIA PRIVATE LIMITED,3334.0,Manufacturing,0.24695104983050467
219,IN0010172396,DP WORLD MULTIMODAL LOGISTICS HYDERABAD PRIVATE LIMITED,4225.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.24628100325408753
82,IN0002602668,ESDS SOFTWARE SOLUTION LIMITED,7371.0,Services,0.24475064804924276
221,IN0010233868,ASUS TECHNOLOGY PRIVATE LIMITED,7375.0,Services,0.24386875190466448
410,IN34508FI,SAI SILKS (KALAMANDIR) LIMITED,2389.0,Manufacturing,0.24278352361329916
188,IN0007948333,ELLUCIAN HIGHER EDUCATION SYSTEMS INDIA PRIVATE LIMITED,7375.0,Services,0.2423651262315009
174,IN0007520057,LONSEN KIRI CHEMICAL INDUSTRIES LIMITED,2816.0,Manufacturing,0.24210253351793865
95,IN0003353519,GREEN GAS LIMITED,2999.0,Manufacturing,0.24152436156882987
416,IN37278FI,MTAR TECHNOLOGIES LIMITED,3559.0,Manufacturing,0.24100344680186367
241,IN0011078755,SHANTINIKETAN PROPERTIES PRIVATE LIMITED,6531.0,"Finance, Insurance, and Real Estate",0.23839510353065518
389,IN32178FI,PAUSHAK LIMITED,2899.0,Manufacturing,0.23834390968329763
104,IN0003662134,HYOSEONG ELECTRIC INDIA PRIVATE LIMITED,5013.0,Wholesale Trade,0.23808197270709733
100,IN0003599749,HID INDIA PRIVATE LIMITED,3571.0,Manufacturing,0.2374351569639039
365,IN30589FI,ENGINEERS INDIA LIMITED,8711.0,Services,0.2373809462248377
362,IN30396FI,STERLITE TECHNOLOGIES LIMITED,3357.0,Manufacturing,0.23714202349086044
217,IN0010020822,ONEIRO LIFECARE PRIVATE LIMITED,2834.0,Manufacturing,0.23700159213931457
1,IN0000020799,TEMENOS INDIA PRIVATE LIMITED,3571.0,Manufacturing,0.23524248512709245
293,IN0014250713,DTCC ENTERPRISE SERVICES INDIA PRIVATE LIMITED,7375.0,Services,0.23503903221700362
81,IN0002582112,EQUIRUS SECURITIES PRIVATE LIMITED,6159.0,"Finance, Insurance, and Real Estate",0.23353781875770963
121,IN0004907797,YOGAKSHEMAM LOANS LIMITED,6159.0,"Finance, Insurance, and Real Estate",0.23288110353384217
273,IN0012849189,SAWAN ENGINEERS PRIVATE LIMITED,3312.0,Manufacturing,0.23254145187587105
350,IN117584FI,PRIME FRESH LIMITED,5148.0,Wholesale Trade,0.23156202142687513
401,IN33239FI,CAPLIN POINT LABORATORIES LIMITED,2834.0,Manufacturing,0.23023181594195463
335,IN108449FI,H.G. INFRA ENGINEERING LIMITED,1611.0,Construction,0.2293940627785892
210,IN0009602415,SARNA CHEMICALS PRIVATE LIMITED,2834.0,Manufacturing,0.22920428899662912
239,IN0011018813,RASI SEEDS PRIVATE LIMITED,139.0,Mining,0.22891153609658563
91,IN0003112809,GENERAL ATLANTIC PRIVATE LIMITED,8712.0,Services,0.22879503690375644
330,IN002003598IND,BHARAT PARENTERALS LIMITED,2833.0,Manufacturing,0.22795817470900218
259,IN0012355638,ENEOS TIDE WATER LUBRICANTS INDIA PRIVATE LIMITED,7389.0,Services,0.22648114298782251
73,IN0002441431,DHARIWAL INDUSTRIES PRIVATE LIMITED,3499.0,Manufacturing,0.22596738598485444
349,IN117483FI,KRISHANA PHOSCHEM LTD,2875.0,Manufacturing,0.22584966048925495
98,IN0003557159,HI-TECH CHEMICALS LIMITED,2819.0,Manufacturing,0.22256072723560882
290,IN0013855003,DASSAULT SYSTEMES GLOBAL SERVICES PRIVATE LIMITED,7375.0,Services,0.22160992373550117
2,IN0000023056,ARGO-HYTOS PRIVATE LIMITED,2999.0,Manufacturing,0.2215967824674472
134,IN0005473588,UBISOFT ENTERTAINMENT INDIA PRIVATE LIMITED,7371.0,Services,0.21787801861363995
44,IN0001369209,ARISTOCRAT TECHNOLOGIES INDIA PRIVATE LIMITED,7389.0,Services,0.21785590801029586
131,IN0005246007,VERIFONE INDIA TECHNOLOGY PRIVATE LIMITED,7371.0,Services,0.21771573337972383
387,IN32097FI,GANESH BENZOPLAST LIMITED,2899.0,Manufacturing,0.21745741028503154
357,IN30183FI,WIPRO LIMITED,7371.0,Services,0.21540786709174176
187,IN0007927584,ELICA PB WHIRLPOOL KITCHEN APPLIANCES PRIVATE LIMITED,3631.0,Manufacturing,0.21431020175365448
374,IN31182FI,FRONTIER SPRINGS LIMITED,3493.0,Manufacturing,0.21315955882689555
302,IN0014703189,RYAN INDIA TAX SERVICES PRIVATE LIMITED,7389.0,Services,0.21270854147688792
341,IN114936FI,TBO TEK LIMITED,4724.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.21127946768900344
166,IN0006874292,MINDSPRINT DIGITAL (INDIA) PRIVATE LIMITED,7371.0,Services,0.21094047708427846
278,IN0013076196,VIRCHOW BIOTECH PRIVATE LIMITED,2879.0,Manufacturing,0.21078111578347547
332,IN100350FI,SUYOG TELEMATICS LIMITED,4899.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.20991848490023388
122,IN0004933266,XILINX INDIA TECHNOLOGY SERVICES PRIVATE LIMITED,7371.0,Services,0.2070857638052398
106,IN0003705045,IHS GLOBAL PRIVATE LIMITED,7374.0,Services,0.20557006955631307
94,IN0003342633,GREAT VALUE FUELS PRIVATE LIMITED,5199.0,Wholesale Trade,0.20333586275226442
343,IN116765FI,GUJARAT GAS LIMITED,4923.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.20307711664995431
22,IN0000400929,CII GUARDIAN INTERNATIONAL LIMITED,3559.0,Manufacturing,0.20277182838941735
356,IN30074FI,RELIANCE INDUSTRIES LIMITED,2821.0,Manufacturing,0.20175169325644735
214,IN0009757564,R. S. FOILS PRIVATE LIMITED,3312.0,Manufacturing,0.20058096644265566
421,IN508884FI,AAKASH EXPLORATION SERVICES LIMITED,1381.0,Mining,0.20028212188500316
