,BVD,Name,SIC,Industry,RG
289,IN114098FI,AGI INFRA LIMITED,1541.0,Construction,0.3568236844866976
391,IN932757FI,EURO PANEL PRODUCTS LIMITED,3365.0,Manufacturing,0.35586785927918246
377,IN34662FI,INDIA TOURISM DEVELOPMENT CORPORATION LIMITED,7011.0,Services,0.35458068642163726
84,IN0002250404,DASHRATH SILVER ART PRIVATE LIMITED,3911.0,Manufacturing,0.35324290337383896
138,IN0005324691,VIJAYA PRODUCTIONS PRIVATE LIMITED,7999.0,Services,0.3520216470513932
387,IN621280FI,MMP INDUSTRIES LIMITED,3365.0,Manufacturing,0.3502810881835659
283,IN110739FI,INDEGENE LIMITED,8099.0,Services,0.3490108192336738
193,IN0008569014,MONTANARI LIFTS COMPONENTS PRIVATE LIMITED,3562.0,Manufacturing,0.3487127138215631
330,IN31392FI,SANGHVI MOVERS LIMITED,7353.0,Services,0.3461507712694167
381,IN37383FI,KOTHARI PETROCHEMICALS LIMITED,2865.0,Manufacturing,0.34297817814017084
246,IN0013058134,LARK ENGINEERING COMPANY (INDIA) PRIVATE LIMITED,3569.0,Manufacturing,0.3422724374004375
74,IN0001948625,CELEBI NAS AIRPORT SERVICES INDIA PRIVATE LIMITED,4581.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.34102306165440416
261,IN0014543142,YES SECURITIES (INDIA) LIMITED,7389.0,Services,0.34037502324356256
3,IN0000022683,INTEVA PRODUCTS INDIA AUTOMOTIVE PRIVATE LIMITED,3714.0,Manufacturing,0.33828045136399604
376,IN34620FI,FINEOTEX CHEMICAL LIMITED,2899.0,Manufacturing,0.3380711196220394
262,IN0014705657,AETAS RETAIL PRIVATE LIMITED,5999.0,Retail Trade,0.3372779020345618
306,IN30089FI,RAYMOND LIMITED,2299.0,Manufacturing,0.33587031218704794
174,IN0007645906,MSKH SEATING SYSTEMS INDIA PRIVATE LIMITED,3631.0,Manufacturing,0.33459755516243334
147,IN0005959111,SKS FASTENERS LIMITED,3312.0,Manufacturing,0.33453699629284567
356,IN33002FI,STERLING TOOLS LIMITED,3714.0,Manufacturing,0.33439552723523175
384,IN490638FI,E2E NETWORKS LIMITED,7379.0,Services,0.333841592700341
108,IN0003406808,GTN ENTERPRISES LIMITED,2299.0,Manufacturing,0.33372234489969443
129,IN0004698558,KPMG GLOBAL SERVICES PRIVATE LIMITED,8742.0,Services,0.3323913843457129
2,IN0000022557,VSL INDIA PRIVATE LIMITED,3398.0,Manufacturing,0.33166893684666726
363,IN33449FI,LUMAX AUTO TECHNOLOGIES LIMITED,3711.0,Manufacturing,0.3259359977543391
96,IN0002919022,FORTINET TECHNOLOGIES INDIA PRIVATE LIMITED,7371.0,Services,0.32328304916975087
357,IN33070FI,BF UTILITIES LIMITED,4911.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.3227227112249018
336,IN31518FI,SHIVALIK BIMETAL CONTROLS LTD,3399.0,Manufacturing,0.32261568997170265
317,IN30740FI,TIPS MUSIC LIMITED,3695.0,Manufacturing,0.32194745642865086
382,IN37719FI,ETHOS LIMITED,5094.0,Wholesale Trade,0.32047587934878796
